reservoir,n_test_old,n_test_new_strict,n_test_new_tol
ResOpsUS_292,1587,1587,1587
ResOpsUS_319,1587,1587,1587
ResOpsUS_1192,1593,1503,1584
ResOpsUS_575,1854,1854,1854
ResOpsUS_920,1245,1245,1245
ResOpsUS_1092,1463,1463,1463
ResOpsUS_1753,1613,1613,1613
ResOpsUS_1042,1463,1463,1463
ResOpsUS_1762,1415,1385,1412
ResOpsUS_421,1096,1096,1096
ResOpsUS_415,1096,1096,1096
ResOpsUS_1017,1463,1463,1463
ResOpsUS_1249,1490,1455,1484
ResOpsUS_293,1096,1096,1096
ResOpsUS_1777,1415,1385,1412
ResOpsUS_1883,1645,1615,1642
ResOpsUS_798,1096,1096,1096
ResOpsUS_1756,1415,1385,1412
ResOpsUS_1036,1463,1463,1463
ResOpsUS_938,1096,1096,1096
ResOpsUS_373,1587,1587,1587
ResOpsUS_393,1587,1587,1587
ResOpsUS_1761,1642,1612,1639
ResOpsUS_958,1096,1096,1096
ResOpsUS_872,1096,1096,1096
ResOpsUS_784,1096,1096,1096
ResOpsUS_837,719,719,719
ResOpsUS_7313,1096,1096,1096
ResOpsUS_885,1096,1096,1096
ResOpsUS_780,1096,1096,1096
ResOpsUS_300,1587,1587,1587
ResOpsUS_522,1663,1663,1663
ResOpsUS_1026,1463,1463,1463
ResOpsUS_882,1096,1096,1096
ResOpsUS_898,1096,1096,1096
ResOpsUS_497,1658,1556,1626
ResOpsUS_529,1672,1672,1672
ResOpsUS_936,1096,1096,1096
ResOpsUS_1848,1461,1461,1461
ResOpsUS_1869,1461,1461,1461
ResOpsUS_1112,1451,1320,1436
ResOpsUS_601,1854,1854,1854
ResOpsUS_451,1854,1854,1854
ResOpsUS_1851,1616,1616,1616
ResOpsUS_1067,1463,1463,1463
ResOpsUS_1864,1461,1461,1461
ResOpsUS_1776,1643,1643,1643
ResOpsUS_597,1854,1854,1854
ResOpsUS_574,1853,1823,1850
ResOpsUS_1237,1516,1427,1507
ResOpsUS_1033,1463,1463,1463
ResOpsUS_385,1001,957,995
ResOpsUS_362,1587,1587,1587
ResOpsUS_372,1827,1827,1827
ResOpsUS_384,1827,1827,1827
ResOpsUS_386,1827,1827,1827
ResOpsUS_55,1827,1827,1827
ResOpsUS_57,1827,1827,1827
ResOpsUS_60,1827,1827,1827
ResOpsUS_572,1755,1695,1749
ResOpsUS_1101,1459,1429,1456
ResOpsUS_939,1096,1096,1096
ResOpsUS_1752,1415,1408,1412
ResOpsUS_423,1854,1854,1854
ResOpsUS_355,1587,1587,1587
ResOpsUS_953,1096,1096,1096
ResOpsUS_449,1854,1854,1854
ResOpsUS_477,1851,1851,1851
ResOpsUS_131,1827,1827,1827
ResOpsUS_367,1827,1827,1827
ResOpsUS_895,1498,1498,1498
ResOpsUS_753,1498,1498,1498
ResOpsUS_307,1495,1465,1492
ResOpsUS_870,1498,1498,1498
ResOpsUS_541,1854,1854,1854
ResOpsUS_398,1587,1587,1587
ResOpsUS_456,1854,1854,1854
ResOpsUS_929,736,706,733
ResOpsUS_884,1480,1237,1444
ResOpsUS_399,1096,1096,1096
ResOpsUS_542,1854,1854,1854
ResOpsUS_488,1854,1854,1854
ResOpsUS_1121,1461,1461,1461
ResOpsUS_1125,1461,1461,1461
ResOpsUS_1207,942,344,791
ResOpsUS_1754,1414,1377,1408
ResOpsUS_473,1852,1852,1852
ResOpsUS_390,1827,1827,1827
ResOpsUS_511,1370,1370,1370
ResOpsUS_502,1854,1854,1854
ResOpsUS_505,1649,1556,1611
ResOpsUS_509,1664,1640,1661
ResOpsUS_297,1824,1767,1818
ResOpsUS_1122,1463,1463,1463
ResOpsUS_957,1366,1336,1363
ResOpsUS_517,1849,1788,1840
ResOpsUS_378,1827,1827,1827
ResOpsUS_1086,1094,1063,1090
ResOpsUS_1796,1643,1643,1643
ResOpsUS_204,1096,1096,1096
ResOpsUS_506,1854,1854,1854
ResOpsUS_1755,1482,1482,1482
ResOpsUS_567,1845,1718,1830
ResOpsUS_1782,1643,1643,1643
ResOpsUS_391,1827,1827,1827
ResOpsUS_361,1827,1827,1827
ResOpsUS_413,1827,1827,1827
ResOpsUS_310,966,966,966
ResOpsUS_7308,1616,1616,1616
ResOpsUS_1709,688,628,682
ResOpsUS_1699,684,624,678
ResOpsUS_438,1852,1852,1852
ResOpsUS_320,1586,1586,1586
ResOpsUS_531,1850,1790,1844
ResOpsUS_374,1784,1591,1750
ResOpsUS_1151,1555,1525,1552
ResOpsUS_469,1852,1852,1852
ResOpsUS_1691,694,652,691
ResOpsUS_987,627,567,621
ResOpsUS_364,1096,1096,1096
ResOpsUS_1712,681,521,663
ResOpsUS_1733,693,631,685
ResOpsUS_868,1096,1096,1096
ResOpsUS_450,1854,1854,1854
ResOpsUS_1742,696,695,696
ResOpsUS_1726,697,697,697
ResOpsUS_1619,696,696,696
ResOpsUS_1650,694,676,691
ResOpsUS_1631,696,696,696
ResOpsUS_1595,696,696,696
ResOpsUS_1617,696,696,696
ResOpsUS_1636,696,696,696
ResOpsUS_1620,696,696,696
ResOpsUS_1706,695,665,692
ResOpsUS_1600,687,655,682
ResOpsUS_1723,688,656,683
ResOpsUS_42,1705,1705,1705
ResOpsUS_41,1705,1705,1705
ResOpsUS_182,1096,1096,1096
ResOpsUS_530,1671,1671,1671
ResOpsUS_132,1095,1065,1092
ResOpsUS_419,1851,1851,1851
ResOpsUS_493,1854,1854,1854
ResOpsUS_470,1854,1854,1854
ResOpsUS_442,1854,1854,1854
ResOpsUS_1872,1616,1616,1616
ResOpsUS_448,1854,1854,1854
ResOpsUS_777,1096,1096,1096
ResOpsUS_508,1390,1268,1376
ResOpsUS_368,719,719,719
ResOpsUS_549,1096,1096,1096
ResOpsUS_338,1412,1134,1367
ResOpsUS_1735,697,697,697
