reservoir,max_depth,n_estimators,KGE
ResOpsUS_292,4,200,0.976868550608898
ResOpsUS_292,4,400,0.9765106669534376
ResOpsUS_292,4,800,0.9728691953579308
ResOpsUS_292,6,200,0.9778191422535948
ResOpsUS_292,6,400,0.975927533865881
ResOpsUS_292,6,800,0.9749347292125176
ResOpsUS_292,8,200,0.9748734382583374
ResOpsUS_292,8,400,0.9742980491739176
ResOpsUS_292,8,800,0.97265025887249
ResOpsUS_1042,4,200,0.8071684454609149
ResOpsUS_1042,4,400,0.812170991326151
ResOpsUS_1042,4,800,0.8117074132051004
ResOpsUS_1042,6,200,0.8057297151000345
ResOpsUS_1042,6,400,0.8046494112597881
ResOpsUS_1042,6,800,0.8027041671204072
ResOpsUS_1042,8,200,0.7939014362292303
ResOpsUS_1042,8,400,0.7940385189576653
ResOpsUS_1042,8,800,0.7918411025190242
ResOpsUS_1777,4,200,0.7879853500862205
ResOpsUS_1777,4,400,0.8157529548261016
ResOpsUS_1777,4,800,0.8369541898525414
ResOpsUS_1777,6,200,0.8245402405611792
ResOpsUS_1777,6,400,0.8358226070557462
ResOpsUS_1777,6,800,0.841269726669255
ResOpsUS_1777,8,200,0.820931848735096
ResOpsUS_1777,8,400,0.8266370645503891
ResOpsUS_1777,8,800,0.8245335333609255
ResOpsUS_393,4,200,0.8200436953993337
ResOpsUS_393,4,400,0.8471819332438282
ResOpsUS_393,4,800,0.8578005525638741
ResOpsUS_393,6,200,0.8176289123698554
ResOpsUS_393,6,400,0.8254756240281832
ResOpsUS_393,6,800,0.8287414568735451
ResOpsUS_393,8,200,0.7919408799924628
ResOpsUS_393,8,400,0.7957341988980755
ResOpsUS_393,8,800,0.7974708139324606
ResOpsUS_7313,4,200,0.95600885240627
ResOpsUS_7313,4,400,0.9656922904673682
ResOpsUS_7313,4,800,0.970186577071644
ResOpsUS_7313,6,200,0.9547834274870266
ResOpsUS_7313,6,400,0.9570419792859552
ResOpsUS_7313,6,800,0.9577608533333238
ResOpsUS_7313,8,200,0.9456449839397048
