reservoir,n_rows,n_gap_rows,max_gap_days,frac_gapped
ResOpsUS_292,34773,1,143,2.9e-05
ResOpsUS_319,32997,0,1,0.0
ResOpsUS_1192,31870,21,65,0.000659
ResOpsUS_575,29125,0,1,0.0
ResOpsUS_920,28273,0,1,0.0
ResOpsUS_1092,27757,3,2,0.000108
ResOpsUS_1753,27698,0,1,0.0
ResOpsUS_1042,27394,0,1,0.0
ResOpsUS_1762,26946,10,17,0.000371
ResOpsUS_421,26755,0,1,0.0
ResOpsUS_415,26527,2,140,7.5e-05
ResOpsUS_1017,26178,0,1,0.0
ResOpsUS_1249,26167,2,2,7.6e-05
ResOpsUS_293,26025,0,1,0.0
ResOpsUS_1777,25997,12,16,0.000462
ResOpsUS_1883,25396,52,199,0.002048
ResOpsUS_798,25288,2,3,7.9e-05
ResOpsUS_1756,25275,2,4,7.9e-05
ResOpsUS_1036,25148,6,21,0.000239
ResOpsUS_938,25101,99,11,0.003944
ResOpsUS_373,25055,0,1,0.0
ResOpsUS_393,25055,0,1,0.0
ResOpsUS_1761,24835,2,2,8.1e-05
ResOpsUS_958,24758,142,5,0.005736
ResOpsUS_872,24381,0,1,0.0
ResOpsUS_784,24339,1,2,4.1e-05
ResOpsUS_837,24186,1,2,4.1e-05
ResOpsUS_7313,24020,0,1,0.0
ResOpsUS_885,24016,0,1,0.0
ResOpsUS_780,23687,1,24,4.2e-05
ResOpsUS_300,23594,0,1,0.0
ResOpsUS_522,23148,8,32,0.000346
ResOpsUS_1026,23133,0,1,0.0
ResOpsUS_882,22777,0,1,0.0
ResOpsUS_898,22354,1,3,4.5e-05
ResOpsUS_497,22295,12,2,0.000538
ResOpsUS_529,22225,102,610,0.004589
ResOpsUS_936,21939,208,31,0.009481
ResOpsUS_1848,21915,0,1,0.0
ResOpsUS_1869,21549,0,1,0.0
ResOpsUS_1112,21539,5,3,0.000232
ResOpsUS_601,21395,0,1,0.0
ResOpsUS_451,21241,0,1,0.0
ResOpsUS_1851,21226,0,1,0.0
ResOpsUS_1067,21185,0,1,0.0
ResOpsUS_1864,21184,0,1,0.0
ResOpsUS_1776,21090,3,2,0.000142
ResOpsUS_597,21034,0,1,0.0
ResOpsUS_574,20865,1,2,4.8e-05
ResOpsUS_1237,20811,12,93,0.000577
ResOpsUS_1033,20772,0,1,0.0
ResOpsUS_385,20732,3,145,0.000145
ResOpsUS_362,20672,0,1,0.0
ResOpsUS_372,20454,0,1,0.0
ResOpsUS_384,20454,0,1,0.0
ResOpsUS_386,20454,0,1,0.0
ResOpsUS_55,20454,0,1,0.0
ResOpsUS_57,20454,0,1,0.0
ResOpsUS_60,20454,0,1,0.0
ResOpsUS_572,20445,66,282,0.003228
ResOpsUS_1101,20439,2,14,9.8e-05
ResOpsUS_939,20360,145,11,0.007122
ResOpsUS_1752,20192,12,16,0.000594
ResOpsUS_423,20183,0,1,0.0
ResOpsUS_355,19941,0,1,0.0
ResOpsUS_953,19787,90,11,0.004548
ResOpsUS_449,19651,11,35,0.00056
ResOpsUS_477,19644,15,1734,0.000764
ResOpsUS_131,19522,146,626,0.007479
ResOpsUS_367,19420,0,1,0.0
ResOpsUS_895,19394,0,1,0.0
ResOpsUS_753,19393,1,2,5.2e-05
ResOpsUS_307,19389,3,4,0.000155
ResOpsUS_870,19333,42,8,0.002172
ResOpsUS_541,19050,0,1,0.0
ResOpsUS_398,18784,0,1,0.0
ResOpsUS_456,18774,35,43,0.001864
ResOpsUS_929,18578,3,1345,0.000161
ResOpsUS_884,18569,601,6,0.032366
ResOpsUS_399,18354,0,1,0.0
ResOpsUS_542,18320,0,1,0.0
ResOpsUS_488,18206,66,125,0.003625
ResOpsUS_1121,17532,0,1,0.0
ResOpsUS_1125,17532,0,1,0.0
ResOpsUS_1207,17052,343,731,0.020115
ResOpsUS_1754,16665,11,16,0.00066
ResOpsUS_473,16479,213,11,0.012926
ResOpsUS_390,16428,0,1,0.0
ResOpsUS_511,16165,7,14,0.000433
ResOpsUS_502,16103,6,120,0.000373
ResOpsUS_505,15860,17,246,0.001072
ResOpsUS_509,15603,3,32,0.000192
ResOpsUS_297,15206,69,371,0.004538
ResOpsUS_1122,15152,7,918,0.000462
ResOpsUS_957,15088,576,3289,0.038176
ResOpsUS_517,15054,20,8,0.001329
ResOpsUS_378,14427,2,5022,0.000139
ResOpsUS_1086,14226,3,2,0.000211
ResOpsUS_1796,14027,0,1,0.0
ResOpsUS_204,13880,1,366,7.2e-05
ResOpsUS_506,13700,352,31,0.025693
ResOpsUS_1755,13533,2,3,0.000148
ResOpsUS_567,13448,11,4,0.000818
ResOpsUS_1782,13362,0,1,0.0
ResOpsUS_391,13218,16,3,0.00121
ResOpsUS_361,13168,40,94,0.003038
ResOpsUS_413,13147,29,32,0.002206
ResOpsUS_310,13109,2,2,0.000153
ResOpsUS_7308,12969,0,1,0.0
ResOpsUS_1709,12722,12,7,0.000943
ResOpsUS_1699,12713,14,11,0.001101
ResOpsUS_438,12642,17,640,0.001345
ResOpsUS_320,12635,0,1,0.0
ResOpsUS_531,12007,180,458,0.014991
ResOpsUS_374,11952,54,132,0.004518
ResOpsUS_1151,11874,1,4,8.4e-05
ResOpsUS_469,11799,15,11,0.001271
ResOpsUS_1691,11630,16,4,0.001376
ResOpsUS_987,11614,23,425,0.00198
ResOpsUS_364,11592,13,127,0.001121
ResOpsUS_1712,11582,24,12,0.002072
ResOpsUS_1733,11543,19,46,0.001646
ResOpsUS_868,11415,0,1,0.0
ResOpsUS_450,11297,53,1612,0.004692
ResOpsUS_1742,11277,5,6,0.000443
ResOpsUS_1726,11263,7,13,0.000622
ResOpsUS_1619,11244,13,17,0.001156
ResOpsUS_1650,11242,11,18,0.000978
ResOpsUS_1631,11241,14,17,0.001245
ResOpsUS_1595,11237,14,17,0.001246
ResOpsUS_1617,11237,18,13,0.001602
ResOpsUS_1636,11237,18,13,0.001602
ResOpsUS_1620,11231,17,13,0.001514
ResOpsUS_1706,11230,17,17,0.001514
ResOpsUS_1600,11228,21,13,0.00187
ResOpsUS_1723,11216,19,30,0.001694
ResOpsUS_42,11201,0,1,0.0
ResOpsUS_41,11186,1,16,8.9e-05
ResOpsUS_182,11172,198,109,0.017723
ResOpsUS_530,11167,0,1,0.0
ResOpsUS_132,11165,211,109,0.018898
ResOpsUS_419,11114,199,1345,0.017905
ResOpsUS_493,11068,4,6,0.000361
ResOpsUS_470,11053,3,21,0.000271
ResOpsUS_442,10965,118,24,0.010762
ResOpsUS_1872,10899,0,1,0.0
ResOpsUS_448,10707,475,231,0.044364
ResOpsUS_777,10669,38,3537,0.003562
ResOpsUS_508,10660,23,180,0.002158
ResOpsUS_368,10609,6,57,0.000566
ResOpsUS_549,10581,38,1279,0.003591
ResOpsUS_338,10406,64,526,0.00615
ResOpsUS_1735,10335,302,48,0.029221
ResOpsUS_518,10209,421,1092,0.041238
ResOpsUS_467,10166,2,4,0.000197
ResOpsUS_114,9931,22,1121,0.002215
ResOpsUS_524,9709,24,4263,0.002472
