reservoir,xgb_KGE,phys_KGE,delta,category,n_test
ResOpsUS_572,-38.34981065717341,-80.10213135207294,-41.75232069489954,both_lt_030,1695
ResOpsUS_1249,-5.323471509124279,-7.066157445726594,-1.7426859366023146,both_lt_030,1455
ResOpsUS_956,0.7286860308389952,-0.1833182966159141,-0.9120043274549092,mixed,225
ResOpsUS_185,0.2454647863186527,-0.5857521006111701,-0.8312168869298229,both_lt_030,1096
ResOpsUS_837,0.4869531355768037,0.2961426847596903,-0.1908104508171134,mixed,719
ResOpsUS_549,0.8786649320205688,0.826295973214657,-0.05236895880591186,mixed,1096
ResOpsUS_1726,0.7964621775775043,0.7672555187409019,-0.02920665883660234,mixed,697
ResOpsUS_1207,0.9001926238069109,0.8767430245819875,-0.0234495992249234,both_gt_085,344
ResOpsUS_1733,0.8989544495592134,0.8824672447995914,-0.016487204759622065,both_gt_085,631
ResOpsUS_958,0.7974644610729656,0.7847017118270915,-0.012762749245874172,mixed,1096
ResOpsUS_1691,0.8354911041796174,0.82413194509766,-0.011359159081957393,mixed,652
ResOpsUS_1753,0.8919143956820297,0.8822495987984613,-0.00966479688356836,both_gt_085,1613
ResOpsUS_1723,0.839608786513802,0.8325920157570689,-0.007016770756733126,mixed,656
ResOpsUS_470,0.7809040447490242,0.777606541146757,-0.0032975036022672155,mixed,1854
ResOpsUS_1706,0.9214743061952466,0.9189895053002156,-0.002484800895031003,both_gt_085,665
ResOpsUS_1699,0.9300308802497188,0.9288868343435608,-0.00114404590615802,both_gt_085,624
