reservoir,n_train,n_test,passthrough_KGE,passthrough_r,passthrough_alpha,passthrough_beta,passthrough_NSE,passthrough_logNSE,passthrough_RMSE,persist_KGE,persist_r,persist_alpha,persist_beta,persist_NSE,persist_logNSE,persist_RMSE,ridge_KGE,ridge_r,ridge_alpha,ridge_beta,ridge_NSE,ridge_logNSE,ridge_RMSE,rf_KGE,rf_r,rf_alpha,rf_beta,rf_NSE,rf_logNSE,rf_RMSE,xgb_KGE,xgb_r,xgb_alpha,xgb_beta,xgb_NSE,xgb_logNSE,xgb_RMSE,phys_KGE,phys_r,phys_alpha,phys_beta,phys_NSE,phys_logNSE,phys_RMSE,phys_KGE_r,phys_KGE_alpha,phys_KGE_beta,lgbm_KGE,lgbm_r,lgbm_alpha,lgbm_beta,lgbm_NSE,lgbm_logNSE,lgbm_RMSE,lgbmphys_KGE,lgbmphys_r,lgbmphys_alpha,lgbmphys_beta,lgbmphys_NSE,lgbmphys_logNSE,lgbmphys_RMSE,cb_KGE,cb_r,cb_alpha,cb_beta,cb_NSE,cb_logNSE,cb_RMSE,cbphys_KGE,cbphys_r,cbphys_alpha,cbphys_beta,cbphys_NSE,cbphys_logNSE,cbphys_RMSE,lstm_KGE,lstmphys_KGE,lstm_r,lstmphys_r,lstm_alpha,lstmphys_alpha,lstm_beta,lstmphys_beta,lstm_NSE,lstmphys_NSE,lstm_logNSE,lstmphys_logNSE,lstm_RMSE,lstmphys_RMSE,passthrough_KGE_hi,passthrough_NSE_hi,persist_KGE_hi,persist_NSE_hi,ridge_KGE_hi,ridge_NSE_hi,rf_KGE_hi,rf_NSE_hi,xgb_KGE_hi,xgb_NSE_hi,phys_KGE_hi,phys_NSE_hi,lgbm_KGE_hi,lgbm_NSE_hi,lgbmphys_KGE_hi,lgbmphys_NSE_hi,cb_KGE_hi,cb_NSE_hi,cbphys_KGE_hi,cbphys_NSE_hi,persist_KGE_for_tier,tier
ResOpsUS_292,33126,1587,0.4179536711024607,0.4181641848484772,0.9844240284188276,1.0015499352786472,-0.1457903633246748,0.2232438724228508,7.072088466090602,0.9935215017435955,0.9935311872930924,1.0001439457017922,0.9996764548623104,0.987060428872342,0.9895626335258628,0.751545092349693,0.939927310358873,0.9884105182601568,0.9479564390907508,1.027674532003383,0.9748602503666453,,1.047551965819857,0.794052778032762,0.8404906698565364,0.8932569866125839,1.0746790527938073,0.7003010821412479,0.6648266284371004,3.6169098932028096,0.8160335880742714,0.8742523106437621,0.8825059888453803,1.0650101275278865,0.7617184765656622,,3.2250784706990667,0.974290177243765,0.9879012974165968,1.0020503746144511,1.0225923072282532,0.9754431681689594,,1.0353358923873814,0.9879012974165968,1.0020503746144511,1.0225923072282532,0.8093234260056752,0.8639598980789626,0.8829778858480607,1.0644707013994532,0.7435763385623798,0.6767913664131444,3.345601041154521,0.9766635792824736,0.9886082070694532,1.0015119980285323,1.0203108209507803,0.9769326776687246,0.9690010247522606,1.0034452793872544,0.7969792212669784,0.859182436124405,0.8754654319613052,1.0766745829132505,0.7344092821971027,0.6568577844890667,3.40487794563364,0.9737267804135866,0.9890771421195238,1.0035400773939418,1.0236313583021317,0.977730050517956,0.9672105064938394,0.9859496064801272,0.7963465565807125,0.9230035549359632,0.8310101955834371,0.9511431022092866,0.8992574248083103,0.9768010889758824,1.0526127794697402,1.0548020676440413,0.6842129834312882,0.902162550804636,,,3.726175512461744,2.074047665029412,-0.2604224004984778,-2.5386639378912497,0.9812203584055368,0.97657550218283,0.8336752214210992,0.9166114518098296,0.3928090039632306,0.2122063657438251,0.5254411955181252,0.4368483372610265,0.9065356780111103,0.8927638025439733,0.4830817531768195,0.3536247786430158,0.9064582481089845,0.9001821927130917,0.4181636558336448,0.3149920673201926,0.9135529857323628,0.9082522721092464,0.9935215017435955,easy
ResOpsUS_319,31380,1587,0.8478222260486133,0.8941186523524868,1.1069825327956753,1.0224043027512135,0.7539124959791067,0.6944994832982792,14.937898597835597,0.9742096852968594,0.9742797076713264,0.9995687207126248,0.9981504343237148,0.9485798836609608,0.992052800367397,6.82827893574381,0.9709438523597383,0.983624787476706,0.9975577899312496,0.9761222333437624,0.9670684380575996,,5.464505799284749,0.9789546042901172,0.9819283127238014,1.0023212261412606,0.9894674452872078,0.9637176942472244,0.8707780351253044,5.735775779390187,0.9748855872134408,0.9839297534253332,0.9952249502656376,0.9813002726041936,0.9678336874083632,0.8810041737173947,5.400641699322971,0.9937441733458804,0.9941762342962648,1.0013143346340951,0.9981314057090932,0.988333869761402,0.9832526099414116,3.2524313351485965,0.9941762342962648,1.0013143346340951,0.9981314057090932,0.9607255096499776,0.9774909644920604,1.0299892055021191,0.9883176857554684,0.9526714435908772,0.8735735491883103,6.550981233837646,0.9901538451706444,0.994638353575131,1.0069497690471372,0.995539033430994,0.9891449775851364,0.9773659517184792,3.1373291782555133,0.9781309623484336,0.9817085512328472,0.99673719748877,0.9884660575007082,0.9634662841561402,0.8745083293347753,5.755613858031434,0.9933104501205978,0.993366328370842,1.0008611652589765,1.0000535975955318,0.98672048847538,0.977444258260638,3.4700503500712103,0.9216798798406284,0.9734634149131411,0.9533804682427314,0.981574798425449,0.9693466009445058,1.0190750951189929,0.9450361063346484,1.0009181727564234,0.9072946429439754,0.9620824262249514,0.7962785711465274,,9.218860477928358,5.895831959903325,0.677178693321675,0.4724826056999157,0.9040830443027134,0.8082637791440604,0.8834228404037124,0.8986511633741822,0.929934746816686,0.9391852817361588,0.9328471606638312,0.945673565197908,0.965872268367961,0.9635731921709144,0.9207910921980692,0.8874734967127531,0.9826059360864534,0.967903620676683,0.920750703857214,0.9273388213802304,0.9587789519729648,0.9593814040201,0.9742096852968594,medium
ResOpsUS_1192,29844,1503,0.5838946910125762,0.7698986804904964,1.3441664507501236,1.041790729899913,0.2611070606239157,,96.08216568021558,0.9925831212662568,0.992752343001388,1.0011089857001196,1.0011187979703482,0.9854860526746416,0.9872013609216764,13.466191817926068,0.9824220378355948,0.9965422064109964,0.9926715293273968,0.9844012200813684,0.9928231602841332,,9.469316851363736,0.9991951840750066,0.9995694700418816,1.0006793715929103,1.0000287552957123,0.9991378926808352,0.9994182722351498,3.281955523347011,0.9711056729980312,0.9787244686293176,0.9810082673089608,0.995358019045286,0.9578735018381646,0.997857247951249,22.94191702627181,0.9896813739209878,0.9940331993100644,0.991820609470956,0.9980077891029204,0.9880928937554712,0.9988732005473956,12.197059419140418,0.9940331993100644,0.991820609470956,0.9980077891029204,0.9913673673853798,0.998725339561487,1.0084159250555724,1.0014386771995425,0.9973561998568284,0.9979735667814535,5.747332671592659,0.9841448772688208,0.998880898758568,1.015375365314569,1.003705491961363,0.9974764107284626,0.998778770846289,5.615149988525403,0.981069803354957,0.9973088473644388,0.9818125337518409,0.9954915508227123,0.9943632300962522,0.9960543428718024,8.392032916858762,0.9864767655827692,0.997639580695287,1.013305122383199,0.9994708420109208,0.9950390266132833,0.9939515125065366,7.872913389780554,0.9526276761817306,0.918763164487542,0.9870741415713528,0.9844618523926542,0.955186325589209,0.9242038720425266,0.9917057951780076,0.9752424476237084,0.9732277450531598,0.9649034543609724,,0.9530311308571529,18.083577333582607,20.70494391263872,-0.1762518520066451,-2.278650492344036,0.9371756868802684,0.9466219063178496,0.8896284541731079,0.9786021235149456,0.9942211535999868,0.9959082192754096,0.8495895354000002,0.7917138635172122,0.9647537443256834,0.9379805444750604,0.965560278178615,0.9852574422129222,0.9413398652374002,0.9860879217436488,0.9590084926661776,0.980266797771386,0.9179810663187284,0.977043402770107,0.9925831212662568,easy
ResOpsUS_575,27241,1854,0.6766847203887358,0.8005603958542037,1.253127152741177,0.9738607790203516,0.4355865116930693,,8.361672678425167,0.982544629008179,0.982544961871618,0.999941035748757,1.0000902419853372,0.9650919728278626,0.9912944582778812,2.07949137589373,0.9262918634525528,0.9804360256832866,0.931281895364078,1.0181097321205648,0.9586016654621988,0.9233588483003802,2.264570813975804,0.8864333845835921,0.936936444331144,0.952134581353974,1.0814203032503569,0.8728281886525621,0.7651955258853206,3.9690804288861616,0.8935358832232242,0.9439419963780882,0.9541019890787614,1.0780094929124562,0.8865255118279649,0.7663748522075705,3.749242981727747,0.9795242463171642,0.9862135243638276,0.994546403761361,1.0141226012646145,0.9724035450573136,0.9779978098628612,1.848932765892167,0.9862135243638276,0.994546403761361,1.0141226012646145,0.8973143057240476,0.9439635794096846,0.9608405323058032,1.0766211946282933,0.8865397891914343,0.7688947873266823,3.749007109376533,0.9784524155393448,0.9856850771173712,1.0050386901008723,1.0152968291165467,0.9710314107197542,0.9773528972227836,1.8943409350289704,0.8929149638038217,0.9413647544737316,0.9531746456007936,1.076396983871091,0.8818103022887802,0.7690993057411208,3.8263463789070182,0.973208061722201,0.986641056600731,0.9848435832166076,1.0175962955824405,0.9732335856228412,0.9687949156808724,1.8209145638942343,0.815203475343121,0.9185678057513208,0.9300644060980866,0.9694068049736794,0.96722933989266,0.9325136753394908,1.16788344786481,1.033776540113702,0.8430604698568652,0.937555498892013,0.7146386443241413,0.925592162570681,4.432624317910762,2.7960301541323624,0.4602111762962713,-0.3446442477761002,0.9573278257988866,0.9194045740875628,0.8512205017375425,0.9173325824482532,0.8969606574490679,0.8381630851839756,0.9278328570387104,0.8629438905006879,0.96744606502387,0.9366298940076608,0.9320549762236888,0.8661728717237379,0.9604292282589484,0.9361411327713188,0.911163928406936,0.841234970708828,0.9585077463466706,0.9389984844180672,0.982544629008179,medium
ResOpsUS_920,26998,1245,0.9358627626245324,0.9531726877063188,0.9561858519558344,1.0010528402875385,0.9085154922281666,0.8147482373470386,4.246518553651452,0.9425021441802472,0.9425034110937548,1.000002310361037,0.9996183159977696,0.8850047689480693,0.7494465811762957,4.761010761707262,0.9193855477484468,0.956178158948946,0.9336243020244376,0.9868621585878424,0.911650120104221,0.8212655266995381,4.173133035144531,0.929963131979238,0.9555014953450682,0.947111505265472,0.9886927859156878,0.9113439302664712,0.8204825031602483,4.180358091735955,0.9286942120385416,0.9557582935454916,0.9457598591116728,0.9863914025993856,0.911101577011601,0.8240671966262632,4.186067976917406,0.9374798620578428,0.9543698885542328,0.9581706954479609,0.9912267532551512,0.9098630010335176,0.8235048777820113,4.2151282719441845,0.9543698885542328,0.9581706954479609,0.9912267532551512,0.9346149116001778,0.9589234864123932,0.9500752055511866,0.9902304188532228,0.9182848331628164,0.8290447577147919,4.013382789181503,0.9368612950218236,0.9571606268980446,0.954337293022179,0.9918635775668712,0.9153361891676396,0.8261267752436874,4.085151379908544,0.9267557361234594,0.9587572894715628,0.941063323752589,0.9862076393611642,0.9165683096181392,0.8251010397772851,4.055316637830686,0.9319489464128408,0.9584729980883316,0.9473454590787376,0.9884261792427133,0.9169030292952244,0.8278390381581117,4.047173698139843,0.9053202270525428,0.8896793523414889,0.9566468242445384,0.9467745598266164,0.9184859367933226,0.9039711110230398,0.9790186021238836,0.9892226951424032,0.90839561011157,0.8931459295230598,0.8184104716686127,0.7879815889446503,4.266491492850521,4.607955497354735,-0.4638389998312611,-0.103305736570868,0.5458290450967878,0.389768164728882,-0.2668334089560953,0.005552057467284,0.0377904412009894,-0.2003725347546339,0.1205452298985859,-0.8366373781693204,0.1587005517864066,-0.6125855595991523,0.1128452358057194,-0.0007142535824693,0.1025112499862744,-0.0532596606906552,0.0565201735340823,-0.070464623819737,0.1239693826056645,-0.0235732115998992,0.9425021441802472,hard
ResOpsUS_1092,26174,1463,-0.1060871049316163,0.0283498086581685,1.5205678782946672,0.9087110442102916,-2.2291384342302405,0.1489273604946905,80.20034949681173,0.95483462296763,0.9548367693265298,1.0000691263744723,0.9995651446730224,0.9096672167014584,0.870517841414834,13.413917311274108,0.9048567658198624,0.9510371999493572,0.9434889379416842,1.0588334860984665,0.9030742924722952,,13.894803805621535,0.7562789686253374,0.8335821149441381,0.9535415422199348,1.1718913621115417,0.669026362039656,0.5953515450973265,25.676133836908125,0.769568896303788,0.857343825228105,1.0137982683765816,1.1804364628890536,0.6979519821105546,,24.52849624890224,0.9458705275062542,0.9668631056871846,0.9923499324715784,1.042112023159225,0.933487894147868,,11.510210818317038,0.9668631056871846,0.9923499324715784,1.042112023159225,0.7519002633501277,0.8360245149949868,1.0298840226375512,1.18377286207192,0.6482764314207832,,26.468764163226812,0.9475784587329366,0.9644599553326926,0.9844410624536828,1.0352539739077744,0.9293024455903304,,11.866841025952798,0.7564804332451304,0.839199950540162,0.9955400692637834,1.1828256888514883,0.6668697472474492,,25.759650487936785,0.9510409965408048,0.9707338441885638,0.979437317949859,1.033431306445352,0.9418156130376576,,10.765548464956831,0.7192497386906666,0.8877965909971333,0.7531009209845184,0.9000061738612033,0.8840547084506876,1.0033395192027543,1.0664698681667937,1.0507906225349042,0.5483881176206469,0.7983851337538739,,,29.334904286110337,19.6003249492367,-4.200195840655214,-29.768266421820694,0.7177218310702627,0.4086851301575894,0.6222884276711349,0.4168583883615726,0.2939676018935926,-0.0461919144088194,0.2954421522518546,-0.2148054365221858,0.686377449755436,0.5182048713996048,0.2814419330326584,-0.2989148617378903,0.6568152336345972,0.4695032441626345,0.3055721346772442,-0.1694979415401019,0.7089090867722169,0.6185706779869553,0.95483462296763,medium
ResOpsUS_1753,26055,1613,0.8115682257396154,0.9248594867089324,0.8787746296131338,0.8768543691890024,0.8346931907148617,0.7419069434935527,825.4502809465142,0.9867032739049744,0.9868119568332758,1.0005656546909123,1.0015995240071358,0.973605544680905,0.8391944708240222,329.8389202849348,0.9253218156634552,0.9518724522281786,0.9852461225803588,0.9448375720044866,0.901225612128376,0.7397337065228559,638.0691118940878,0.888554284162282,0.9411142546444028,0.9147919161285076,0.9588636533531985,0.8829334526718451,0.7931758236851748,694.6434627070191,0.8919143956820297,0.9388427669263066,0.930072084045567,0.9447516762804468,0.8776154652085334,0.8000850778748538,710.2460362715302,0.8822495987984613,0.9469173377478178,0.9105568020713196,0.9447976241848688,0.8916032122359492,0.8065230588201626,668.4266461413058,0.9469173377478178,0.9105568020713196,0.9447976241848688,0.8906642328601646,0.9428977135188972,0.9250232574031116,0.9445732291735632,0.8849790953330131,0.8006461090957782,688.5475504163717,0.8953440412371116,0.9448614329834624,0.9257812019262184,0.9509675806794584,0.8894585312654619,0.8073087817261789,675.006823967266,0.8938522262558941,0.9443915149757534,0.926265020042692,0.9476721967322016,0.8881976830631735,0.8036744419771665,678.845510080384,0.8910378350407612,0.9522274976539464,0.9146840414083836,0.9519195609234454,0.9025002297806752,0.8094371346611573,633.9388156075682,0.8123429055453131,0.8815050536404738,0.9347869174744567,0.9540746352745606,0.8470425448423228,0.9012357799917676,0.9130146226174816,0.9533358592305844,0.8571009187376847,0.9048687133603484,0.775890382785081,0.7740061022054118,768.3197967172134,626.8866054397864,0.6657403413783196,0.401240225983448,0.9609739994297548,0.9312504720286444,0.7887957051431295,0.603555959801619,0.5387112675476988,0.395691831300072,0.5806385916964815,0.3316039083101043,0.5836771347029703,0.446277147272998,0.6291283885970687,0.4115535604480405,0.6098133570068931,0.4301193496635352,0.5792007131690035,0.4284444942626039,0.5730702438939886,0.527496709015634,0.9867032739049744,easy
ResOpsUS_1042,25901,1463,-0.8343162307641041,0.4053921662404904,2.735243099456382,1.0094310267449074,-5.263950217946588,-0.4439368505438374,170.62106955651677,0.8619003931580315,0.8619014611601132,1.0000037698001614,0.999456892291361,0.7238015904065496,0.6187175892559517,35.82771394081686,0.6627712328566417,0.8711270007286828,0.692009888387491,1.0475087633680216,0.7245549358798355,0.5045062341798652,35.77881960450566,0.5391262227486578,0.6813078809536229,0.6838570392166864,1.1043724109274564,0.4534381876413713,0.3207180241048477,50.39972347712828,0.6364066940709513,0.7536817445164958,0.7524318688359334,1.101180183652282,0.5579455291669368,0.3790412658619847,45.32589672511886,0.8070659502516206,0.8691303619070144,0.8591503774080936,1.0160645321574775,0.7550336563426814,0.6073369007483175,33.74129300818087,0.8691303619070144,0.8591503774080936,1.0160645321574775,0.5871028353829515,0.7236099017961849,0.7083380861023891,1.0950047901174786,0.5144829444522723,0.34411022317004,47.50187545096311,0.800063557301498,0.8601046350507912,0.8575632734483783,1.0107539255119986,0.7396595536234919,0.6097865886255588,34.783984897706816,0.5846448967184883,0.7353779992790257,0.7035596691929751,1.120905702212284,0.5253620366290093,0.314582773664338,46.966667617247175,0.8017717354672694,0.8685923977261727,0.853660624963803,1.0247239608136949,0.7536273791856851,0.6065038852001873,33.83800365264442,0.4266480598209865,0.6252660428632973,0.6067708223571727,0.6579774521061207,0.6058852484317869,0.8511282257181145,1.137028550870651,1.0358233190209178,0.349838051575617,0.394374197958883,0.249779615247498,,53.88681932372088,52.00845598224793,-2.398080092916195,-11.113785283885466,0.7639933667422895,0.5294884400548655,0.5944475396018496,0.6067214856078584,0.3174292733091832,0.3369114680790115,0.5156955977197807,0.4917536652535736,0.6684338106894916,0.5975184398292739,0.4462010383508394,0.3960816430879528,0.6441062165371265,0.5649416467036158,0.4801285773375221,0.471619009066811,0.6587399448696485,0.593102336324002,0.8619003931580315,hard
ResOpsUS_1762,25231,1385,-0.4672305570778141,0.2159702880600323,2.239457157437721,0.9574691489080066,-4.050133995035627,,100.27209789886211,0.9397559320719362,0.9397786361187744,1.0004621613037112,1.00158791049355,0.879498219213024,0.6626456371949476,15.489071451287993,0.7611116540167271,0.936006476229744,0.7700369402480167,1.0094584307152572,0.8484495705745709,0.5908122309545778,17.37029668727306,0.6562413037259041,0.7848119427074931,0.7320187211126492,1.007083461628528,0.6130794714891948,0.2695423884653246,27.7548916865235,0.6855914696936896,0.8135296111785582,0.7479892032481825,1.0239181174566174,0.6568144245451147,0.308153919047159,26.13925246968484,0.9011393345982156,0.9043235886149806,1.007565445169089,1.023711168414096,0.806434226784971,,19.631023097440323,0.9043235886149806,1.007565445169089,1.023711168414096,0.6931009117015866,0.8125580831712583,0.7583809006620521,1.0259381774433614,0.6564681777095172,0.2945775977199817,26.15243535441102,0.913634922171429,0.9157454303896884,1.0001025432652926,1.0189758702829417,0.8310200904342002,,18.34197880872898,0.6590093016665228,0.8021055420734547,0.722440378656013,1.008549647436808,0.6369347064936413,0.2930744966600923,26.885679574372148,0.9096865314807204,0.9145759444817756,0.9737941666142756,1.013134216054333,0.8327251085928981,0.6083209983420437,18.24920832729592,0.7546766714512422,0.7821323548260934,0.8240604877494323,0.8234303725380284,0.8291162529704602,0.8741575534587828,1.005250577150979,0.978712536081424,0.6790160965284191,0.6749049630414219,0.3824311172652213,0.4713335270716895,25.28378403347006,25.44518511150283,-2.6016989397572727,-24.94531267167695,0.8477804725064589,0.7249745847534488,0.7109094182894353,0.7080382982948809,0.5858169377051532,0.4152280669185417,0.6197972954068863,0.396825733387227,0.7171625585274694,0.4429896956555836,0.637076273637142,0.4509240397839554,0.7623012676667118,0.5664238728717581,0.5969161546581506,0.4362230968532181,0.7346446045531043,0.5423817756528688,0.9397559320719362,hard
ResOpsUS_421,25629,1096,0.5989497931995593,0.8769771681010684,1.3815034241782858,1.0127196126704556,0.5143887324869112,,26.08993498177223,0.9944654914365668,0.9944706407126556,0.9999049351648128,1.0002189374049453,0.9889422782119056,0.9782317005509262,3.936964046944588,0.6230851774577837,0.978341808641026,0.6297570093674925,1.0671999560013652,0.8313574669728044,,15.374895677616257,0.371120362005546,0.8017837092729111,0.4207695443744019,1.1438470731373835,0.4780562452542399,-0.2227877681639454,27.048330976525182,0.4055573166013861,0.841314934579506,0.4470918409426708,1.149912379430364,0.5310796774408115,-0.1369637611417242,25.637646014543616,0.860218089686158,0.9884347052189544,0.8607120981738913,1.002026527200604,0.9606862062766388,0.8492881711529752,7.423369814667868,0.9884347052189544,0.8607120981738913,1.002026527200604,0.3883794866061072,0.833297440322083,0.4284241485182367,1.139967692714915,0.511877632390162,-0.1417828995098862,26.157303643675974,0.891827452343869,0.9858824177606472,0.892896012054012,1.0055434379403685,0.9632885188188004,0.8678106274505719,7.1734747318708685,0.3842954446389092,0.8519069864445329,0.4207384715191837,1.1470259856301843,0.5193329857628288,-0.1728160101617069,25.956777785069555,0.928314271401107,0.9902574148845068,0.9325641195597186,1.0222784144244064,0.9768103989617196,0.865903394292231,5.701317903362328,0.6354831371294547,0.7412301014269219,0.8798635378433418,0.91281241447273,0.8607065685593033,1.2067545795461438,1.314701626520966,1.128890376576932,0.6803120578970645,0.7311438085320159,-0.0628406985712002,0.6261716394182741,21.42103518385133,19.644335724192917,0.4754229860434098,-0.2879021615032768,0.9843802989211744,0.9798835840303932,0.5247472461430032,0.6519451997373522,0.3074032145427923,-0.0674721498938577,0.3392876326164528,0.0567774630835552,0.8059711837528265,0.8965944263460828,0.2969814107042839,-0.0459618510037567,0.8621025393654808,0.9035214343981786,0.3001283527080846,0.0209994544810008,0.919460814720329,0.9606185225299472,0.9944654914365668,easy
