feature,mean_abs_shap,reservoir
inflow,0.8465794,ResOpsUS_292
inflow_lag1,2.0254087,ResOpsUS_292
inflow_lag2,0.046466455,ResOpsUS_292
inflow_lag3,0.044744696,ResOpsUS_292
storage_lag1,0.04792483,ResOpsUS_292
storage_lag2,0.12505426,ResOpsUS_292
doy_sin,0.096717395,ResOpsUS_292
doy_cos,0.9740189,ResOpsUS_292
storage_trend,3.5743132,ResOpsUS_292
throughput_ratio,0.04078689,ResOpsUS_292
storage_norm,0.01987826,ResOpsUS_292
storage_deficit,0.058238097,ResOpsUS_292
inflow_norm,0.13241082,ResOpsUS_292
inflow_ma7,0.03212229,ResOpsUS_292
inflow_ma30,0.06944476,ResOpsUS_292
inflow_anom7,0.03750401,ResOpsUS_292
inflow,3.9544885,ResOpsUS_319
inflow_lag1,8.465424,ResOpsUS_319
inflow_lag2,0.3929841,ResOpsUS_319
inflow_lag3,0.23470531,ResOpsUS_319
storage_lag1,0.29706535,ResOpsUS_319
storage_lag2,1.3204935,ResOpsUS_319
doy_sin,0.25718445,ResOpsUS_319
doy_cos,0.9068346,ResOpsUS_319
storage_trend,4.7317224,ResOpsUS_319
throughput_ratio,0.27608734,ResOpsUS_319
storage_norm,0.11706031,ResOpsUS_319
storage_deficit,0.17871267,ResOpsUS_319
inflow_norm,0.7381772,ResOpsUS_319
inflow_ma7,1.243188,ResOpsUS_319
inflow_ma30,5.2778325,ResOpsUS_319
inflow_anom7,0.2598342,ResOpsUS_319
inflow,6.8833165,ResOpsUS_1192
inflow_lag1,0.2658219,ResOpsUS_1192
inflow_lag2,0.19172648,ResOpsUS_1192
inflow_lag3,0.17287979,ResOpsUS_1192
storage_lag1,48.98008,ResOpsUS_1192
storage_lag2,1.0272157,ResOpsUS_1192
doy_sin,0.2620637,ResOpsUS_1192
doy_cos,0.52412736,ResOpsUS_1192
storage_trend,0.060067207,ResOpsUS_1192
throughput_ratio,0.52587736,ResOpsUS_1192
storage_norm,25.599855,ResOpsUS_1192
storage_deficit,1.0798708,ResOpsUS_1192
inflow_norm,1.7713796,ResOpsUS_1192
inflow_ma7,1.2064495,ResOpsUS_1192
inflow_ma30,0.46805197,ResOpsUS_1192
inflow_anom7,0.1484089,ResOpsUS_1192
inflow,0.5592701,ResOpsUS_575
inflow_lag1,2.6771896,ResOpsUS_575
inflow_lag2,0.13121821,ResOpsUS_575
inflow_lag3,0.12709701,ResOpsUS_575
storage_lag1,0.062243342,ResOpsUS_575
storage_lag2,0.28485775,ResOpsUS_575
doy_sin,0.15201178,ResOpsUS_575
doy_cos,2.1836908,ResOpsUS_575
storage_trend,3.7979345,ResOpsUS_575
throughput_ratio,0.1664303,ResOpsUS_575
storage_norm,0.027532058,ResOpsUS_575
storage_deficit,0.05893766,ResOpsUS_575
inflow_norm,0.093377806,ResOpsUS_575
inflow_ma7,1.0458386,ResOpsUS_575
inflow_ma30,1.5791076,ResOpsUS_575
inflow_anom7,0.088515684,ResOpsUS_575
inflow,9.736541,ResOpsUS_920
inflow_lag1,0.7447314,ResOpsUS_920
inflow_lag2,0.27681264,ResOpsUS_920
inflow_lag3,0.23524998,ResOpsUS_920
storage_lag1,0.18846922,ResOpsUS_920
